unix,open,high,low,close,vwap,volume,tradecount,date,volume_from,Name,vwap_
1638794280,43190.0,43230.5,43190.0,43230.5,43199.7,0.96960485,39,2021-12-06 12:38:00,41916.502467925,BTCEUR,42409.14
1638794340,43230.5,43250.0,43190.0,43190.0,43225.3,1.10477520,55,2021-12-06 12:39:00,47715.240888,BTCEUR,42409.75
1638794400,43230.0,43230.0,43179.4,43179.5,43196.0,1.06228059,41,2021-12-06 12:40:00,45868.744735905006,BTCEUR,42410.33
1638794460,43179.5,43186.4,43135.6,43149.9,43165.2,1.07582161,31,2021-12-06 12:41:00,46421.594889339,BTCEUR,42410.89
1638794520,43137.1,43162.4,43103.3,43123.0,43126.4,31.51987880,61,2021-12-06 12:42:00,1359231.7334924,BTCEUR,42426.36
1638794580,43110.2,43140.2,43103.7,43103.7,43109.6,1.33650233,31,2021-12-06 12:43:00,57608.195481621,BTCEUR,42426.99
1638794640,43111.5,43136.4,43100.4,43118.7,43127.0,1.54469636,60,2021-12-06 12:44:00,66605.298937932,BTCEUR,42427.72
1638794700,43123.1,43181.7,43123.1,43176.3,43166.7,0.34818081,28,2021-12-06 12:45:00,15033.159106803001,BTCEUR,42427.9
1638794760,43176.2,43176.4,43145.7,43145.7,43174.0,1.08774873,20,2021-12-06 12:46:00,46931.68037996099,BTCEUR,42428.44
1638794820,43118.1,43148.2,43117.5,43117.5,43126.4,0.61299529,19,2021-12-06 12:47:00,26430.824416575,BTCEUR,42428.73
1638794880,43129.2,43132.4,43095.3,43106.4,43116.9,0.36617516,29,2021-12-06 12:48:00,15784.492917024001,BTCEUR,42428.9
1638794940,43099.0,43135.2,43090.7,43090.8,43101.6,0.72578761,33,2021-12-06 12:49:00,31274.768744988003,BTCEUR,42429.23
1638795000,43090.7,43090.7,43073.3,43073.3,43084.8,2.24186081,67,2021-12-06 12:50:00,96564.343227373,BTCEUR,42430.22
1638795060,43073.8,43123.8,43067.9,43077.6,43094.4,1.54940398,34,2021-12-06 12:51:00,66744.604888848,BTCEUR,42430.9
1638795120,43064.7,43064.7,43010.0,43010.0,43041.9,0.87410043,43,2021-12-06 12:52:00,37595.0594943,BTCEUR,42431.25
1638795180,43010.1,43016.2,42999.9,43000.0,43007.7,0.96056271,45,2021-12-06 12:53:00,41304.19653,BTCEUR,42431.62
