unix,open,high,low,close,vwap,volume,tradecount,date,volume_from,Name
1639075380,3646.04,3649.72,3644.43,3648.96,3645.40,2.15513716,12,2021-12-09 18:43:00,7864.009291353601,ETHEUR
1639075440,3649.24,3649.24,3644.46,3644.46,3646.00,6.55271777,7,2021-12-09 18:44:00,23881.1178040542,ETHEUR
1639075500,3644.14,3655.41,3644.14,3654.53,3654.43,5.65524073,24,2021-12-09 18:45:00,20667.2469050069,ETHEUR
1639075560,3654.54,3655.35,3649.87,3651.66,3652.62,5.56009469,20,2021-12-09 18:46:00,20303.5753756854,ETHEUR
1639075620,3653.64,3654.20,3646.47,3648.05,3649.13,17.49558404,29,2021-12-09 18:47:00,63824.76535712201,ETHEUR
1639075680,3648.81,3648.81,3643.70,3644.16,3644.78,2.94115078,14,2021-12-09 18:48:00,10718.0240264448,ETHEUR
1639075740,3644.16,3649.47,3641.63,3645.92,3644.98,9.74512326,17,2021-12-09 18:49:00,35529.9397960992,ETHEUR
1639075800,3645.00,3645.01,3638.06,3638.06,3643.65,4.19952417,12,2021-12-09 18:50:00,15278.1209019102,ETHEUR
1639075860,3637.93,3639.68,3634.15,3635.42,3636.87,38.06563038,38,2021-12-09 18:51:00,138384.5539960596,ETHEUR
1639075920,3635.25,3635.52,3634.00,3634.01,3634.68,9.24641611,21,2021-12-09 18:52:00,33601.5686079011,ETHEUR
1639075980,3634.01,3639.83,3634.00,3639.83,3634.41,37.71873509,27,2021-12-09 18:53:00,137289.78354263472,ETHEUR
1639076040,3639.97,3641.19,3638.15,3640.06,3639.82,2.03444190,11,2021-12-09 18:54:00,7405.490582514,ETHEUR
1639076100,3638.76,3646.68,3638.51,3646.68,3640.85,7.18720703,13,2021-12-09 18:55:00,26209.4441321604,ETHEUR
1639076160,3650.14,3658.95,3650.14,3655.19,3655.24,20.62781021,30,2021-12-09 18:56:00,75398.5656014899,ETHEUR
1639076220,3653.44,3658.95,3653.43,3658.95,3656.36,7.96421496,20,2021-12-09 18:57:00,29140.664327892,ETHEUR
1639076280,3658.95,3659.00,3655.17,3655.17,3657.88,11.89984102,30,2021-12-09 18:58:00,43495.9419010734,ETHEUR
1639076340,3655.81,3655.81,3650.73,3653.38,3651.87,3.53215119,18,2021-12-09 18:59:00,12904.290514522201,ETHEUR
1639076400,3650.42,3655.18,3650.19,3655.18,3652.76,11.35317890,20,2021-12-09 19:00:00,41497.912451701995,ETHEUR
1639076460,3655.18,3663.35,3655.18,3661.25,3659.11,38.15568956,28,2021-12-09 19:01:00,139697.51840154998,ETHEUR
1639076520,3661.46,3662.88,3658.12,3660.31,3662.04,38.24427366,30,2021-12-09 19:02:00,139985.8973204346,ETHEUR
1639076580,3659.93,3662.88,3658.86,3661.72,3660.60,3.13039259,13,2021-12-09 19:03:00,11462.6211546548,ETHEUR
1639076640,3661.12,3661.12,3653.45,3653.45,3660.14,41.97907361,22,2021-12-09 19:04:00,153368.4464804545,ETHEUR
1639076700,3652.99,3653.45,3652.99,3652.99,3652.99,4.67158763,10,2021-12-09 19:05:00,17065.2628965137,ETHEUR
1639076760,3653.44,3661.63,3653.39,3660.18,3653.74,15.12812545,13,2021-12-09 19:06:00,55371.662209581,ETHEUR
1639076820,3662.61,3665.30,3662.61,3665.13,3664.32,2.80040540,14,2021-12-09 19:07:00,10263.849843701999,ETHEUR
1639076880,3665.79,3672.08,3665.39,3672.08,3667.61,1.05652759,15,2021-12-09 19:08:00,3879.6538326871996,ETHEUR
1639076940,3673.29,3674.92,3665.62,3671.00,3669.32,17.19041007,36,2021-12-09 19:09:00,63105.99536697,ETHEUR
1639077000,3667.23,3667.23,3665.05,3665.05,3665.51,6.51758169,18,2021-12-09 19:10:00,23887.2627729345,ETHEUR
1639077060,3663.69,3663.69,3655.43,3655.43,3660.67,73.16406244,27,2021-12-09 19:11:00,267446.1087650492,ETHEUR
1639077120,3658.72,3667.35,3656.95,3662.81,3663.29,31.64339732,33,2021-12-09 19:12:00,115903.75213766919,ETHEUR
1639077180,3662.65,3662.65,3659.19,3659.52,3660.30,3.48279317,16,2021-12-09 19:13:00,12745.3512614784,ETHEUR
1639077240,3659.51,3659.79,3659.51,3659.51,3659.63,0.08236061,4,2021-12-09 19:14:00,301.3994759011,ETHEUR
1639077300,3659.51,3659.51,3652.98,3654.33,3657.22,9.49351428,30,2021-12-09 19:15:00,34692.4340388324,ETHEUR
1639077360,3656.82,3662.26,3656.53,3657.74,3658.17,64.38871320,29,2021-12-09 19:16:00,235517.17182016798,ETHEUR
1639077420,3659.24,3664.08,3659.24,3663.11,3661.61,0.49181497,8,2021-12-09 19:17:00,1801.5723347567002,ETHEUR
1639077480,3663.92,3668.05,3663.92,3668.05,3664.54,26.53001721,13,2021-12-09 19:18:00,97313.4296271405,ETHEUR
1639077540,3667.05,3667.05,3664.60,3664.60,3665.82,0.69436279,12,2021-12-09 19:19:00,2544.561880234,ETHEUR
1639077600,3666.00,3669.26,3665.78,3668.50,3668.39,6.97115201,14,2021-12-09 19:20:00,25573.671148685,ETHEUR
1639077660,3667.59,3667.98,3665.36,3665.36,3667.51,12.55522653,15,2021-12-09 19:21:00,46019.425114000805,ETHEUR
1639077720,3665.36,3667.87,3660.79,3667.46,3664.86,30.34568439,24,2021-12-09 19:22:00,111291.5836729494,ETHEUR
1639077780,3667.46,3671.42,3665.88,3671.42,3669.67,7.89216855,15,2021-12-09 19:23:00,28975.465457841,ETHEUR
1639077840,3673.34,3675.84,3672.02,3675.76,3674.17,0.94742837,13,2021-12-09 19:24:00,3482.5193053112002,ETHEUR
1639077900,3675.85,3677.28,3674.26,3674.26,3675.56,4.20609297,13,2021-12-09 19:25:00,15454.279155952201,ETHEUR
1639077960,3676.18,3676.18,3672.02,3672.02,3672.12,7.00118600,14,2021-12-09 19:26:00,25708.49501572,ETHEUR
1639078020,3670.93,3672.52,3670.92,3670.93,3670.98,3.78105363,13,2021-12-09 19:27:00,13879.9832019759,ETHEUR
1639078080,3670.92,3670.93,3670.92,3670.93,3670.92,0.25681064,6,2021-12-09 19:28:00,942.7338826951999,ETHEUR
1639078140,3671.07,3671.07,3670.02,3670.02,3670.56,1.76992432,7,2021-12-09 19:29:00,6495.657652886401,ETHEUR
1639078200,3671.09,3675.02,3671.09,3675.02,3673.35,0.35634632,9,2021-12-09 19:30:00,1309.5798529264,ETHEUR
1639078260,3675.03,3675.04,3675.00,3675.00,3675.00,21.97907951,17,2021-12-09 19:31:00,80773.11719924999,ETHEUR
1639078320,3672.84,3672.84,3670.84,3670.84,3671.13,0.34197699,5,2021-12-09 19:32:00,1255.3428139716,ETHEUR
1639078380,3670.84,3674.51,3670.83,3674.51,3671.78,3.33365004,12,2021-12-09 19:33:00,12249.530408480401,ETHEUR
1639078440,3673.97,3679.42,3673.97,3679.34,3677.67,9.26366487,17,2021-12-09 19:34:00,34084.1727027858,ETHEUR
1639078500,3679.90,3679.99,3679.90,3679.98,3679.98,6.36296590,8,2021-12-09 19:35:00,23415.587252682,ETHEUR
1639078560,3679.98,3680.91,3678.79,3679.34,3680.52,2.40219586,17,2021-12-09 19:36:00,8838.4953155324,ETHEUR
1639078620,3680.04,3689.75,3680.04,3689.75,3682.84,12.72527063,42,2021-12-09 19:37:00,46953.067307042504,ETHEUR
1639078680,3688.68,3689.70,3688.29,3689.21,3689.29,3.77687845,17,2021-12-09 19:38:00,13933.6977465245,ETHEUR
1639078740,3689.22,3691.54,3689.21,3689.22,3689.45,157.16056778,55,2021-12-09 19:39:00,579799.9098653316,ETHEUR
1639078800,3689.21,3690.50,3689.21,3689.21,3689.29,3.57913979,15,2021-12-09 19:40:00,13204.1983046659,ETHEUR
1639078860,3689.21,3691.47,3689.21,3689.22,3689.42,1.75611995,7,2021-12-09 19:41:00,6478.712841938999,ETHEUR
1639078920,3689.21,3689.21,3680.13,3680.27,3687.95,16.74235838,28,2021-12-09 19:42:00,61616.39927516259,ETHEUR
1639078980,3680.00,3680.00,3671.37,3672.03,3673.54,12.39251124,15,2021-12-09 19:43:00,45505.6730486172,ETHEUR
1639079040,3670.89,3673.88,3670.83,3673.88,3670.93,4.68473607,11,2021-12-09 19:44:00,17211.1581528516,ETHEUR
1639079100,3671.66,3671.69,3670.00,3670.63,3670.91,21.56574588,14,2021-12-09 19:45:00,79159.8737995044,ETHEUR
1639079160,3670.01,3670.88,3670.01,3670.01,3670.02,0.76148345,7,2021-12-09 19:46:00,2794.6518763345,ETHEUR
